word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
cycliste,90,12.69,23,39.667,31.077,23,0-100_VAS
cyclone,71.64,28.988,26,52.76,32.146,26,0-100_VAS
cylindre,77.24,27.912,24,17.167,26.033,24,0-100_VAS
cymbale,62.72,37.028,25,69.667,36.056,26,0-100_VAS
câblage,73.481,27.161,25,22.407,30.348,27,0-100_VAS
cèdre,77.65,19.778,20,18.8,31.464,20,0-100_VAS
cène,33.478,44.664,25,10.478,23.697,24,0-100_VAS
cèpe,22.286,31.26,25,8.423,17.454,26,0-100_VAS
céleri,84.5,21.734,25,35.476,37.775,24,0-100_VAS
cérémonie,76.364,19.155,23,58.826,31.281,23,0-100_VAS
côte,69.08,28.384,24,24.375,34.721,24,0-100_VAS
côté,68.087,32.687,23,20.708,30.177,23,0-100_VAS
daltonisme,55.542,31.551,24,10.75,22.068,24,0-100_VAS
damier,51.48,38.029,25,8.808,16.368,26,0-100_VAS
dance,81.08,28.75,25,65.12,35.949,26,0-100_VAS
danseur,78.125,30.027,25,54.962,39.439,27,0-100_VAS
dauphin,84.182,22.824,24,71.125,30.226,24,0-100_VAS
demande,37.636,30.137,25,49.48,39.691,27,0-100_VAS
demeure,71.483,33.852,28,14.321,26.486,28,0-100_VAS
dent,89.074,20.723,28,37.407,37.487,28,0-100_VAS
dentelle,82.107,20.404,28,21.759,30.839,28,0-100_VAS
derme,63.32,26.356,23,21,32.188,23,0-100_VAS
dernier,52.519,37.809,26,23.37,31.563,26,0-100_VAS
derrière,66.607,30.201,28,22.852,28.784,28,0-100_VAS
description,29.464,34.639,26,21.962,29.352,26,0-100_VAS
dessein,21.286,29.413,24,3.619,11.016,24,0-100_VAS
destin,52.667,41.833,24,21.792,26.828,24,0-100_VAS
destination,60.4,34.154,24,26.04,27.653,25,0-100_VAS
destinée,41,36.035,20,27.579,31.302,22,0-100_VAS
destruction,76.96,20.348,26,56.815,29.619,26,0-100_VAS
deuil,67.036,26.211,26,55.259,35.7,27,0-100_VAS
devant,62.741,35.969,26,10.846,22.593,26,0-100_VAS
devin,43.172,33.244,26,23.538,28.935,27,0-100_VAS
devinette,35.231,35.943,24,49.667,42.676,24,0-100_VAS
devis,38.773,33.387,25,23.962,29.195,27,0-100_VAS
devise,45.833,32.595,23,36.435,36.748,23,0-100_VAS
devoir,56.818,37.359,24,19.286,28.664,24,0-100_VAS
dextérité,46.286,37.665,25,8.077,15.2,26,0-100_VAS
diagnostic,53.696,35.602,24,29.125,33.159,24,0-100_VAS
diagonale,73.2,24.382,25,19.185,33.065,27,0-100_VAS
diapason,36.667,36.268,25,36.731,42.757,26,0-100_VAS
diapositive,82.72,16.598,24,27.56,32.689,25,0-100_VAS
dictaphone,54.96,30.695,25,54.2,34.067,26,0-100_VAS
dictature,62.36,39.066,25,35.63,34.433,26,0-100_VAS
diction,33.714,34.085,28,62.036,34.923,28,0-100_VAS
dicton,23.872,30.318,24,40.24,37.972,25,0-100_VAS
dictée,72.538,28.03,25,58.741,29.795,26,0-100_VAS
diesel,58.792,32.287,24,12.958,20.577,24,0-100_VAS
difficulté,49,32.099,25,32.962,33.486,27,0-100_VAS
diffusion,56.083,36.82,23,48.864,36.298,23,0-100_VAS
digestion,42.154,35.831,25,36.077,31.99,27,0-100_VAS
dignité,59.462,32.608,25,33.038,34.036,26,0-100_VAS
dilemme,45.167,35.552,23,35.083,30.443,23,0-100_VAS
diligence,32.16,37.152,25,15.72,24.939,27,0-100_VAS
dilution,62,33.33,24,19.571,30.644,24,0-100_VAS
dimanche,50.286,41.427,24,24.85,35.87,24,0-100_VAS
diminutif,35.875,34.071,25,31.538,33.674,27,0-100_VAS
dinde,77.731,23.338,24,43.48,37.153,25,0-100_VAS
dindon,78.069,21.511,28,50.571,27.357,28,0-100_VAS
dinosaure,81.36,23.112,24,56.4,32.785,25,0-100_VAS
